Country,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
Burundi,-2.171097680824299,0.45555260818821414,-1.1288800941097978,-1.675033168177269,1.3199498709363287,-1.1680289233360517,-0.29520035214782636,-0.7105316081479903,-0.9437275109205262,-0.23155375357006336,-0.7519438428523206,-0.17238572799176013,-0.0034394029616912534,0.04594642163619353,-0.37838835903443324,-0.15168343477055243,-0.08263620122949976,0.09528214278894172,0.3539133064289419,-0.012355128878748603,0.07482665068043887,0.010395028983702093,-0.02533794783056532
Belgium,2.7286414124490515,-2.8865449306283923,0.6182174927708678,0.3508746727313421,1.857189694959882,-0.5462952616635838,0.06190076408734676,0.3238826047719369,-0.8358337701563219,-0.34830302058894214,-0.01840128476332462,-0.6711666908786399,0.055246493495884064,-0.2701776617179322,-0.1270318094199651,-0.3761807044405809,-0.668634490743604,0.19397917318728933,0.14000043437740603,0.03404354201777328,-0.07775821493022989,0.03456172711197743,-0.021742171229592017
Benin,-2.9267660920957033,0.8651394000298662,-0.10823236682795509,-1.063282457160853,0.3015094884715249,0.007652197685912687,-0.6370757495750693,0.36992750683488357,-0.52015712728517,0.7749201293105052,-0.2356421403996975,-0.5988246604323508,-0.16982902335660105,-0.4839248964676001,0.1235891049946006,-0.19718260364040277,0.13987859332891323,0.08620394060431553,0.01628656643204086,-0.002369108799371807,0.10509290170928,-0.05223876332714032,-0.004793177932261761
Burkina Faso,-2.6758014910167285,0.6442135130665886,-0.5650479674580519,-1.4406464803482057,1.8376649712953401,-0.7640505217566955,-0.2538649643079706,-0.29962031303318454,0.60083866072891,0.8008810506869293,-0.5129166782569762,-0.38641877580908585,0.05418535216500214,-0.33903090785736717,-0.023830515615924287,0.060601441347225296,0.17184747702634817,0.039014270620288824,0.12558539649303388,0.009565979516100848,-0.022820108510684868,0.031148797751880435,-0.0268521114838531
Bangladesh,-0.9494944380899785,1.4630520928862583,-1.6160108300896903,-1.8431883692221045,1.3519463091396113,0.5111774542989204,-0.32029088575861514,-1.1335267912246756,-0.004756811783186207,0.057396568585823364,-0.456302066791249,-0.28066882118081465,-0.09631284976065664,-0.6428092718603784,0.8096412851790098,-0.30398029456328857,0.3364479222327762,0.44110153856653217,0.10255848704915324,0.35338466081299785,0.07385634571009414,-0.09571287437533656,0.17238979775826366
Bulgaria,2.835906826747995,0.8884708578075505,-1.5461834289466392,0.5012930904282689,-1.2847554683452809,-0.18061275657569328,1.2026030335769917,-1.0129233890523042,0.34218181564374506,0.2999143841725559,0.6930940951458131,0.008760886651851412,-0.2032041579400763,-0.5349001874289803,0.14090750491185564,-0.09733722975824498,-0.22980801427697653,-0.11338328003670899,-0.35338368372971174,-0.09375678782124301,0.11794182792951186,0.05074620071895036,0.01252035761201393
Bahrain,0.5483637287131017,-1.1385573881356263,0.5718948373693226,-0.05452354286109497,0.11705115729485932,1.9054268017712914,0.312107157519658,-0.15858069183726314,-0.18556511383581564,0.5129162519779494,0.2573832352164016,0.2173925518633916,1.2315759022837913,0.5245928895246443,-0.013743683481896815,0.16089356374090916,0.100880495635324,0.056681604627383295,0.01654117365635614,-0.03250346317779405,0.1064062379056773,-0.0025260061626771377,-0.03093285600741449
"Bahamas, The",-0.20715281806451694,-0.6440754918762972,0.7067676618122257,1.0474072119768458,0.6784030531137037,1.2240966010902863,0.5211158700747573,-1.0971020981025743,0.2527339725956444,-0.7537984002827994,0.35526133273802785,0.18237102150129075,0.4693531014534565,0.5630436600985071,-0.18730036487116009,0.05601127923329399,-0.021006676946455628,0.08293705889491862,0.1070068662942926,0.017236596574198352,0.0158556214052653,-0.01062690314768935,-0.06873724017374795
Bosnia and Herzegovina,2.2167463738401705,2.048780379649042,-1.2004173194192231,2.935779606635241,1.1625250790731982,-0.23545031150871018,0.29137414922630533,-1.5052901794997042,0.9538964486227702,-1.499510773848241,-0.18522230440163095,0.4993064048951607,0.21192820074085514,0.07397526593546286,0.8494592627690056,-0.16948678786963237,0.025983443523304988,-0.21257481855598578,-0.0595815884788431,-0.011422284766903198,0.2032465203030627,-0.018546691101393963,0.07670419242398539
Belarus,5.247018957019488,1.6446443091610803,-4.539062294236395,1.461996773374834,0.6256874365583175,-0.2782216351737047,0.4346236027082068,0.09439154457142337,-0.0422440762269242,3.2749537439001433,1.4365994742717632,-1.6699023983623886,-0.3473876749488685,0.1931364936199086,-1.273359119963832,0.7722938665826123,0.33502442339326693,-0.9128262253545762,0.11070366912128259,0.11771492459224955,0.09297694816760488,0.06111842019557831,-0.2427790976754164
