Country,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
Burundi,0.32384739375154475,0.014258004727019944,0.08755426560289122,0.19276514162714162,0.1197006628105198,0.09373221363687022,0.005987084971425764,0.034685541917731745,0.06118921905712974,0.0036837091289857963,0.038846553560127124,0.0020416641074856093,8.127328262459038e-07,0.00014503909016202137,0.009836876377202925,0.0015807310650380602,0.00046916150256470356,0.0006237416003289287,0.008605487191492588,1.0487603006508627e-05,0.00038467529171638473,7.423916672015963e-06,4.410873011611231e-05
Belgium,0.3360351363378816,0.3760524321474701,0.017249413652419592,0.005556429381904838,0.15566977168908763,0.013469349601121141,0.00017293535022862853,0.004734422423354126,0.031530552869655726,0.005475278817457398,1.5282276405663857e-05,0.020330710104770035,0.00013775304100078017,0.003294508523257793,0.0007283107601623062,0.006386821649857052,0.020177590731754107,0.0016982513393222357,0.0008846073109788895,5.23071715639639e-05,0.0002728879269808225,5.391165096774669e-05,2.1335242397552207e-05
Benin,0.6726938622998354,0.058777839338133735,0.0009199320438006822,0.08878482287588907,0.007139098978287159,4.598474657518165e-06,0.0318730470003544,0.01074668913502768,0.021247632328665146,0.04715799368020244,0.00436061107203177,0.02816052772440811,0.002264984631575641,0.018390662186535473,0.001199504301597703,0.003053364338955828,0.0015365402736054565,0.0005835736491154069,2.0830538899022922e-05,4.407694107320531e-07,0.0008673376566956778,0.00021430248628361297,1.804216032547174e-06
Burkina Faso,0.45689698301117726,0.026483182190948418,0.020374227050782616,0.13244188479283348,0.21549796914098984,0.03725243458662587,0.00411259595764799,0.005728659565079264,0.023037017187787553,0.040930452295357744,0.01678820058817823,0.009528552872443441,0.0001873588914519565,0.007334813788330515,3.6239098538827044e-05,0.00023435618229682582,0.001884502979384542,9.713091764009632e-05,0.0010064420870352156,5.8394158006388704e-06,3.323119186357137e-05,6.191460196547046e-05,4.601160584059872e-05
Bangladesh,0.06227981046542769,0.1478706600711385,0.1804059952860278,0.2346939393216432,0.126264516781686,0.018051189012695597,0.007086823115032507,0.08876178157556504,1.5631273693467153e-06,0.00022758010339792367,0.014383590287759668,0.005441902710080648,0.0006408123874813988,0.02854477977989131,0.04528430670976973,0.006383418163907288,0.007819844791967604,0.01344124747582461,0.0007266171481629677,0.008626960723607097,0.00037682357317892086,0.0006328534466349483,0.002052983941749931
Bulgaria,0.4761777195909252,0.04673815122150117,0.1415491232234212,0.014878823494622318,0.0977295962193166,0.0019314434484560424,0.08563074939588962,0.06074889091597207,0.006932645728183154,0.005325737363303171,0.02844261694721892,4.54444945776012e-06,0.0024448393956514264,0.016940672818878226,0.0011755832900630684,0.0005609744980274088,0.003126910817595706,0.0007611726718989455,0.007393977793062334,0.0005204638788456996,0.0008236085825108898,0.00015247274552122157,9.281509677686594e-06
Bahrain,0.037824038826784014,0.16305732396586928,0.041139860162146984,0.0003739371337363163,0.0017233833107060113,0.4566831610004099,0.012252872539974624,0.003163232218421441,0.004331348453106282,0.03309202769958742,0.008332800226058514,0.0059445608925942,0.19078877709762612,0.034615870580642125,2.3759469992626842e-05,0.003256175479468716,0.0012801028768265766,0.00040412408266274753,3.441621460663542e-05,0.00013288921386326422,0.0014241791917014913,8.026002127499382e-07,0.00012035676300206927
"Bahamas, The",0.00623778828336288,0.060300718449655996,0.07261097678960017,0.15947039086834625,0.06689975485788849,0.21781125778421048,0.03947458178919309,0.1749617162000119,0.00928487767805371,0.08259606582992245,0.018346144939311727,0.004834600584559807,0.032021990388759525,0.046082187233577744,0.005099483438195402,0.0004560368340197857,6.414512445940386e-05,0.0009998761277423397,0.0016644556611126273,4.3186894210133975e-05,3.6543948779440645e-05,1.6415812531345752e-05,0.0006868044824951024
Bosnia and Herzegovina,0.1802046064355061,0.15393050271693792,0.05284432810008327,0.31606817846428453,0.04956082603948771,0.0020329767581397664,0.003113407102303906,0.08309489272843791,0.033368473435659615,0.08245804916823186,0.001258115291857347,0.009142566942917117,0.0016470674209218051,0.0002006813181979847,0.02646177593169314,0.0010534297347302803,2.475866867184895e-05,0.0016571335460402058,0.00013018412548066618,4.784536162934035e-06,0.0015148865608599488,1.2614404478101999e-05,0.000215760568915963
Belarus,0.3790007268631596,0.03723563371986107,0.28362666765738337,0.02942439924163153,0.005389266321971248,0.0010656057954688703,0.0026004073881074636,0.00012265378697968662,2.4566676759195103e-05,0.14764716654448384,0.028410977923780296,0.0383881296816323,0.0016612828748997252,0.0005135035631215772,0.02232115085371219,0.008210695529981585,0.0015451395646124929,0.011470728324319012,0.00016870921581465484,0.0001907558360728067,0.00011900503881788081,5.1423190233613806e-05,0.0008114044071959795
